,city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
0,Kodiak,1,US,1535201580,100,39.95,-94.76,71.06,3.38
1,Tiznit,0,MA,1535202702,85,29.7,-9.73,78.41,3.71
2,Walvis Bay,36,NA,1535202702,100,-22.95,14.51,56.81,13.78
3,Pangnirtung,12,CA,1535202635,90,66.15,-65.72,41.6,10.2
4,Puerto Ayora,75,EC,1535198400,77,-0.74,-90.35,69.8,18.34
5,Mar del Plata,0,AR,1535202703,70,-46.43,-67.52,46.91,16.24
6,Atuona,92,PF,1535202556,100,-9.8,-139.03,77.15,15.01
7,Muriti,75,TZ,1535198400,78,-1.99,32.93,71.6,11.41
8,Quelimane,20,MZ,1535198400,48,-17.88,36.89,84.2,9.17
9,Tyukalinsk,92,RU,1535202704,100,55.87,72.2,59.69,10.09
10,Busselton,12,AU,1535202704,100,-33.64,115.35,56.45,9.53
11,Punta Arenas,20,CL,1535198400,69,-53.16,-70.91,39.2,14.99
12,Hasaki,75,JP,1535200200,88,35.73,140.83,80.6,2.24
13,Yumen,0,CN,1535202704,37,40.29,97.04,74.81,13.0
14,Chuy,64,UY,1535202705,88,-33.69,-53.46,49.43,31.34
15,Hobart,0,AU,1535200200,70,-42.88,147.33,48.2,9.17
16,Cape Town,75,ZA,1535200200,82,-33.93,18.42,57.2,32.21
17,Carnarvon,0,ZA,1535202572,20,-30.97,22.13,66.35,20.49
18,Imeni Babushkina,0,RU,1535202705,73,59.76,43.13,72.65,7.18
19,Oussouye,40,SN,1535198400,74,12.49,-16.54,91.4,6.93
20,Hermanus,8,ZA,1535202554,56,-34.42,19.24,59.69,17.47
21,Provideniya,92,RU,1535202706,100,64.42,-173.23,46.19,6.17
22,Ushuaia,75,AR,1535198400,69,-54.81,-68.31,39.2,20.8
23,Saint-Paul,75,FR,1535202000,82,45.22,1.9,60.8,4.7
24,Viedma,0,AR,1535202707,79,-40.81,-62.99,33.5,6.73
25,Lac du Bonnet,8,CA,1535202707,95,50.25,-96.06,63.65,9.98
26,Kapaa,90,US,1535199000,96,22.08,-159.32,80.96,24.16
27,Crixas,20,BR,1535202675,57,-14.55,-49.97,79.67,4.5
28,Mataura,0,NZ,1535202707,87,-46.19,168.86,39.35,8.41
29,Phan Thiet,36,VN,1535202600,100,10.93,108.1,78.05,8.75
30,Ordzhonikidze,0,UA,1535202708,69,44.96,35.36,82.01,7.74
31,Mount Gambier,0,AU,1535202708,90,-37.83,140.78,41.6,3.15
32,Mount Isa,0,AU,1535200200,24,-20.73,139.49,66.2,9.17
33,Vaini,88,IN,1535202709,99,15.34,74.49,71.3,6.96
34,Ancud,92,CL,1535202709,99,-41.87,-73.83,49.97,5.73
35,Bluff,100,AU,1535202709,87,-23.58,149.07,62.03,8.75
